id	feladat	nehezseg
1	Dobozok **	
2	Felbontás **	
3	Járda 1 – 1x1,1x2 *	
4	Járda 1 – 1x1,1x2,1x3 *	
5	Járda 2 – 1x1,1x2 *	
6	Járda 2 – 1x2,1x3 *	
7	Kép dekódolása **	
8	Kép kódolása **	
9	Robot **	
10	Kifejezés ***	
