id	feladat	nehezseg
1	Adott élen átmenő utak ***	
2	Bányászrobot *	
3	Futár **	
4	Hálózat1 *	
5	Hálózat2 **	
6	Kanna *	
7	Kastély *	
8	Legnagyobb átviteli sebességű útvonal **	
9	Raktár *	
10	Repülőút ***	
11	Szállítás *	
12	Szállítás kétféle szempont *	
13	Térkép *	
14	Túra *	
15	Turista *	
16	Út városok elkerülésével **	
17	Vám *	
18	Repülőút menetrenddel ***	
19	Tűzoltó ***	
20	Egér és macska ***	
21	Szállítás ***	
22	Autóbusz	
23	Vasutak	
