id	feladat	(nehezseg)
1	Csővezeték *	
2	Ellenséges Városok *	
3	Gyár *	
4	Hálózat kiépítés *	
5	Járásközpont *	
6	Kereskedők *	
7	Malmokból szállítás *	
8	Terek közötti utak *	
9	Villamosítás ***	
10	Autóbusz ***	
