id	feladat	nehezseg
1	Dominó ***	
2	Egy kavicshalom ***	
3	Fizetős játék ***	
4	Két játékos egy bábuval ***	
5	Kitalálós játék fizetéssel ***	
6	Kitalálós játék hibakorláttal ***	
7	Számok elvétele ***	
8	Mankala ***	
9	Kincskereső játék ***	
10	Kavicsos játék ***	
11	Grundy játék ***	
