id	feladat	nehezseg
1	Fesztivál (16 pont)	
2	Karavánok (20 pont)	
3	Keresősorozatok (16 pont)	
4	Konvex négyszög (35 pont)	
5	Határidős ütemezés (20 pont)	
7	Vizsga (13 pont)	
