id	feladat	(nehezseg)
1	Hálózat ***	
2	Ismerősök ***	
3	Legolcsóbb almák ***	
4	Összeadás ***	
5	Vám	
6	Autómosó	
7	Legkisebb kizárt ***	
8	Ismerősök ***	
