id	feladat	nehezseg
1	Centrum ***	
2	Csillag molekula *	
3	Kincskereső játék *	
4	Molekula szerkezete ***	
5	Molekula szomszédok ***	
6	Számzár ***	
7	Új fiú ***	
8	Csillag molekula központja ***	
9	Barátok ***	
10	Molekula ***	
11	Rajtszámok	
