id	feladat	(nehezseg)
1	Angol mérték **	
2	Bankbetét *	
3	Gyufa **	
4	Húsvét **	
5	Idő *	
6	Japán naptár *	
7	Lebegőpontos egész **	
8	Mozi *	
9	Négyzetek *	
10	Órák angolul *	
11	Pakolás **	
12	Racionális számok **	
13	Sportverseny 1. *	
14	Sportverseny 2. *	
15	Sportverseny 3. ***	
16	Számintervallum **	
17	Szilveszter **	
18	Tanév *	
19	Telefonáló robot **	
20	Titkos kód **	
21	Törtek **	
22	Tükördátumok **	
23	Időkülönbség *	
24	Maja naptár	
