id	feladat	nehezseg
1	A legkvesebb gyerek *	
2	A legkevesebb testvér	
3	A legtöbb féltestvér *	
4	A legtöbb gyerek *	
5	A legtöbb testvér	
6	Ismeretlen szülők *	
7	Közös gyerek *	
8	Szülők *	
9	Testvéreim szülei *	
10	Van-e édestestvéred? **	
11	Van-e féltestvéred? **	
