id	feladat	(nehezseg)
1	Ábra **	
2	Csokoládé automata **	
3	Dátum *	
4	Erősen páratlan számok *	
5	Eszperantó számok *	
6	Francia számok *	
7	Hét napja *	
8	Játéktábla 1. **	
9	Játéktábla 2. **	
10	Játéktábla 3. ***	
11	Keresztrejtvény **	
12	Kiszámoló **	
13	Kocka **	
14	Morze **	
15	Péntek 13 *	
16	Rendezőpályaudvar **	
17	Számok betűkkel *	
18	Szűkszámok ***	
19	Táblajáték szomszédok ***	
20	Titkosított szó visszafejtése *	
