id	feladat	nehezseg
1	Csoki ***	
2	Kirakó ***	
3	Konferencia *	
4	Megye ***	
5	Munka **	
6	Ritmus **	
7	Sudoku 1 *	
8	Sudoku 2 *	
9	Szoborpark **	
10	Ültetés **	
11	Üvegválogatás *	
12	Üzletek *	
13	Tehenészet	
14	Hátizsák probléma – sok kicsi tárgy	
15	Biztonságos leszállás	
